run_id,system,task_set,condition,n,accurate,accurate_ci_low,accurate_ci_high,propagated,propagated_ci_low,propagated_ci_high,detection_hit,detection_hit_ci_low,detection_hit_ci_high,recovered,recovered_ci_low,recovered_ci_high
poison-100,dag-bpd,micro_qna,all,100,1.0,1.0,1.0,0.0,0.0,0.0,0.85,0.78,0.91,0.85,0.77,0.92
poison-100,dag-bpd,code,all,100,0.97,0.93,1.0,0.02,0.0,0.05,0.63,0.54,0.72,0.63,0.54,0.72
poison-100,dag-yonsei,micro_qna,all,100,0.29,0.2,0.38,0.71,0.61,0.79,0.29,0.2,0.39,0.29,0.21,0.38
poison-100,dag-yonsei,code,all,100,1.0,1.0,1.0,0.0,0.0,0.0,0.23,0.15,0.32,0.23,0.16,0.32
poison-100,general-agent-system,micro_qna,all,100,0.83,0.75,0.9,0.17,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0
poison-100,general-agent-system,code,all,100,0.88,0.81,0.94,0.1,0.05,0.16,0.0,0.0,0.0,0.0,0.0,0.0
poison-yonsei-improved,dag-yonsei,micro_qna,all,100,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
poison-yonsei-improved,dag-yonsei,code,all,100,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
poison-20,dag-bpd,micro_qna,all,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-20,dag-bpd,code,all,20,0.9,0.75,1.0,0.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
poison-20,dag-yonsei,micro_qna,all,20,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
poison-20,dag-yonsei,code,all,20,1.0,1.0,1.0,0.0,0.0,0.0,0.05,0.0,0.15,0.05,0.0,0.15
poison-20,general-agent-system,micro_qna,all,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-20,general-agent-system,code,all,20,0.9,0.75,1.0,0.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
poison-all,dag-bpd,micro_qna,all,9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-all,dag-bpd,micro_qna,none,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-all,dag-bpd,micro_qna,document,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-all,dag-bpd,micro_qna,agent,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-all,dag-bpd,code,all,15,0.9333333333333333,0.8,1.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,0.06666666666666667,0.0,0.2
poison-all,dag-bpd,code,none,5,0.8,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
